"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105387746",984.900135897709,1.1714807623237,0.182786074649114,6.40902631435433,1.46451918240583e-10,8.62553384579765e-09
"LOC105384685",705.802454108132,2.44059563651843,0.381319963038188,6.40038779263705,1.54982812280786e-10,9.05315583376246e-09
"LOC105396641",1178.39725335766,1.62827866647602,0.255146959945988,6.38172865873343,1.75100020873056e-10,1.01865330510354e-08
"LOC125490868",96.1537732750275,-2.56143713816923,0.401410921134955,-6.38108482680786,1.75837868155578e-10,1.01878745317945e-08
"LOC105394550",303.618138263755,1.44436362947836,0.22647199390269,6.37766994756522,1.79802480099264e-10,1.03103855505845e-08
"LOC105391250",71.2563165628501,3.30874854126596,0.518776734402704,6.37798174406472,1.79436896815758e-10,1.03103855505845e-08
"LOC125488433",883.119949546417,1.36884314571292,0.214639771439868,6.37739751831783,1.8012250067323e-10,1.03103855505845e-08
"LOC105388135",1601.0941345284,1.46313952289324,0.229531608953925,6.37445765993365,1.83611531035196e-10,1.04680606073786e-08
"LOC105391177",271.600501640744,-1.77670617956313,0.279044728682211,-6.36710174728484,1.92633396701134e-10,1.09386605704433e-08
"LOC105390410",1425.78541529322,1.45630684471212,0.228815248882856,6.36455328839422,1.95858916148454e-10,1.1077687031206e-08
"LOC105382746",1173.22696320872,-1.55634049340648,0.244576980102911,-6.36339729418368,1.9733936703088e-10,1.11062074370669e-08
"LOC119692074",778.043816762023,2.40617363066617,0.378154084227382,6.36294497673428,1.97921608715007e-10,1.11062074370669e-08
"LOC105383189",195.24520409749,1.6331842858215,0.257379606630969,6.34543003309178,2.2180498704937e-10,1.23975940408418e-08
"LOC105390761",7867.85930363425,1.32138780245633,0.208399296121962,6.34065386517913,2.28792046054534e-10,1.27381759078722e-08
"LOC105392199",125576.222871884,-1.66445415606152,0.263272615826707,-6.32216970547788,2.57915894932526e-10,1.43037947489233e-08
"LOC105382359",81.2833569443404,-1.63011009574275,0.257958451823035,-6.31927383740477,2.62795240750996e-10,1.45179091721858e-08
